[08-08-2026 21:05:26, 1, 42.50]
[08-08-2026 21:25:37, 5, 67.00]
[08-08-2026 21:36:22, 1, 11.00]
[08-08-2026 21:36:38, 2, 77.00]
[08-08-2026 22:20:07, 1, 10.00]
[08-08-2026 22:20:07, 2, 20.00]
[08-08-2026 22:20:07, 3, 30.00]
[08-08-2026 22:20:07, 4, 40.00]
[08-08-2026 22:20:07, 5, 50.00]
[08-08-2026 22:20:07, 0, 0.00]
[08-08-2026 22:23:24, 4, 40.00]
[08-08-2026 22:23:24, 2, 20.00]
[08-08-2026 22:23:24, 1, 10.00]
[08-08-2026 22:23:24, 3, 30.00]
[08-08-2026 22:23:24, 5, 50.00]
[08-08-2026 22:24:31, 2, 20.00]
[08-08-2026 22:24:31, 1, 10.00]
[08-08-2026 22:24:31, 3, 30.00]
[08-08-2026 22:24:31, 4, 40.00]
[08-08-2026 22:24:31, 5, 50.00]
[08-08-2026 22:26:53, 2, 20.00]
[08-08-2026 22:26:53, 3, 30.00]
[08-08-2026 22:26:53, 1, 10.00]
[08-08-2026 22:26:53, 4, 40.00]
[08-08-2026 22:26:53, 5, 50.00]
[08-08-2026 22:40:08, 67, 888.00]
[08-08-2026 22:59:41, 1, 1.00]
[08-08-2026 22:59:56, 1, 10.00]
[08-08-2026 22:59:56, 2, 20.00]
[08-08-2026 22:59:56, 3, 30.00]
[08-08-2026 22:59:56, 4, 40.00]
[08-08-2026 22:59:56, 5, 50.00]
[08-08-2026 23:01:29, 1, 10.00]
[08-08-2026 23:01:29, 2, 20.00]
[08-08-2026 23:02:32, 3, 30.00]
[08-08-2026 23:02:32, 2, 20.00]
[08-08-2026 23:02:32, 1, 10.00]
[08-08-2026 23:02:32, 4, 40.00]
[08-08-2026 23:02:32, 5, 50.00]
[08-08-2026 23:03:35, 2, 20.00]
[08-08-2026 23:03:35, 1, 10.00]
[08-08-2026 23:03:35, 4, 40.00]
[08-08-2026 23:03:35, 3, 30.00]
[08-08-2026 23:03:35, 5, 50.00]
[09-08-2026 19:25:16, 2, 20.00]
[09-08-2026 19:25:16, 5, 5.00]
[09-08-2026 19:25:16, 1, 10.00]
[09-08-2026 19:25:16, 4, 40.00]
[09-08-2026 19:25:16, 3, 30.00]
[09-08-2026 19:33:50, 1, 67.00]
